Code site;Adresse;Opérateur;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;Type;Arrondissement;geo_shape;geo_point_2d
T15392;3  place  DES PYRAMIDES;BOUYGUES;2014-12-31;;2023-06-29;;;75001;"{""coordinates"": [2.3321429998658014, 48.86411400009866], ""type"": ""Point""}";48.86411400009866, 2.3321429998658014
T07523;2 RUE DE LA MONNAIE;BOUYGUES;;;;;;75001;"{""coordinates"": [2.3429789994974906, 48.85919100004075], ""type"": ""Point""}";48.85919100004075, 2.3429789994974906
T15526;30  rue  DE GRAMONT;BOUYGUES;2015-07-07;;2021-07-18;;;75002;"{""coordinates"": [2.3371750622205965, 48.8711616541825], ""type"": ""Point""}";48.8711616541825, 2.3371750622205965
T10573;5-7  rue  RATAUD;BOUYGUES;1996-05-31;;2022-01-12;;;75005;"{""coordinates"": [2.345650744498304, 48.84114214591115], ""type"": ""Point""}";48.84114214591115, 2.345650744498304
T15959;75  rue  D'AMSTERDAM;BOUYGUES;2015-05-02;;2022-03-16;;;75008;"{""coordinates"": [2.3269994997615875, 48.88166399999357], ""type"": ""Point""}";48.88166399999357, 2.3269994997615875
T15982;21  rue  LAFFITTE;BOUYGUES;2015-12-29;;2021-04-01;;;75009;"{""coordinates"": [2.3376780001106354, 48.87333899959726], ""type"": ""Point""}";48.87333899959726, 2.3376780001106354
T15038;51  rue  SAINT GEORGES;BOUYGUES;2002-09-30;;2021-10-07;;;75009;"{""coordinates"": [2.3372719208459993, 48.87814434605424], ""type"": ""Point""}";48.87814434605424, 2.3372719208459993
T16759;1  rue  SCRIBE;BOUYGUES;2015-04-27;;;;;75009;"{""coordinates"": [2.3299750621488657, 48.87062166107264], ""type"": ""Point""}";48.87062166107264, 2.3299750621488657
T41605;8 BOULEVARD DE DENAIN;BOUYGUES;2022-11-15;;;;;75010;"{""coordinates"": [2.3546430000898395, 48.87929699962017], ""type"": ""Point""}";48.87929699962017, 2.3546430000898395
T96638;7 RUE DE PARADIS;BOUYGUES;2023-02-24;;;;;75010;"{""coordinates"": [2.3546080710089066, 48.87448263623622], ""type"": ""Point""}";48.87448263623622, 2.3546080710089066
T96836;77 Rue de BERCY;BOUYGUES;2018-07-18;;2020-06-10;;;75012;"{""coordinates"": [2.3812569899557823, 48.83846461078752], ""type"": ""Point""}";48.83846461078752, 2.3812569899557823
T10576;32  avenue  DU GENERAL MICHEL BIZOT;BOUYGUES;2000-01-24;;2020-08-05;;;75012;"{""coordinates"": [2.399733000113338, 48.83371200043814], ""type"": ""Point""}";48.83371200043814, 2.399733000113338
T10564;7-8  square  GEORGES CONTENOT;BOUYGUES;1999-11-29;;2021-12-16;;;75012;"{""coordinates"": [2.3957819998609335, 48.8376990001867], ""type"": ""Point""}";48.8376990001867, 2.3957819998609335
T41607;29 RUE CHARCOT;BOUYGUES;2022-07-08;;;;;75013;"{""coordinates"": [2.370329999874202, 48.83020199970776], ""type"": ""Point""}";48.83020199970776, 2.370329999874202
T10123;63-65  boulevard  VICTOR;BOUYGUES;1996-05-31;;;;;75015;"{""coordinates"": [2.2877964769791497, 48.83318170269161], ""type"": ""Point""}";48.83318170269161, 2.2877964769791497
T15879;14  boulevard  DE VAUGIRARD;BOUYGUES;2002-07-10;;;;;75015;"{""coordinates"": [2.3194224965044388, 48.84193867092998], ""type"": ""Point""}";48.84193867092998, 2.3194224965044388
T10660;7  rue  DU GENERAL HENRYS;BOUYGUES;1996-05-31;;2021-04-27;;;75017;"{""coordinates"": [2.3265236214409653, 48.89680266453607], ""type"": ""Point""}";48.89680266453607, 2.3265236214409653
T15838;75  rue  SAINT FARGEAU;BOUYGUES;2000-09-26;;;;;75020;"{""coordinates"": [2.406721500362969, 48.87244799973051], ""type"": ""Point""}";48.87244799973051, 2.406721500362969
T15835;11  rue  PIXERECOURT;BOUYGUES;2000-12-14;;;;;75020;"{""coordinates"": [2.3952555002611753, 48.87076499979249], ""type"": ""Point""}";48.87076499979249, 2.3952555002611753
75101_007_09;5 et 7, rue Thérèse;FREE MOBILE;2017-05-09;2017-05-09;;;3G/4G;75001;"{""coordinates"": [2.3360625004299895, 48.86588700005951], ""type"": ""Point""}";48.86588700005951, 2.3360625004299895
75101_015_03;3, rue de la Banque;FREE MOBILE;2019-04-23;2019-04-25;;;3G/4G/5G;75001;"{""coordinates"": [2.340127051603639, 48.86640065133671], ""type"": ""Point""}";48.86640065133671, 2.340127051603639
75101_036_01;8 PLACE MARGUERITE DE NAVARRE;FREE MOBILE;2022-10-26;2022-10-26;2023-04-13;;3G/4G/5G;75001;"{""coordinates"": [2.3465204999861795, 48.86073000013386], ""type"": ""Point""}";48.86073000013386, 2.3465204999861795
75102_006_01;10 RUE BACHAUMONT;FREE MOBILE;2016-11-30;2016-11-25;;;3G/4G/5G;75002;"{""coordinates"": [2.3458545003224374, 48.86607600036604], ""type"": ""Point""}";48.86607600036604, 2.3458545003224374
75104_009_01;2, rue Crillon;FREE MOBILE;2014-03-20;2014-03-20;2021-09-30;;3G/4G/5G;75004;"{""coordinates"": [2.3651044886068826, 48.848408373567096], ""type"": ""Point""}";48.848408373567096, 2.3651044886068826
75105_011_04;104 BD ST GERMAIN;FREE MOBILE;2013-11-22;2013-11-22;;;3G/4G;75005;"{""coordinates"": [2.3427955191107293, 48.85166764844249], ""type"": ""Point""}";48.85166764844249, 2.3427955191107293
75109_011_06;19 RUE TRONCHET;FREE MOBILE;2017-09-14;2017-09-14;2023-04-13;;3G/4G;75008;"{""coordinates"": [2.3258519997274147, 48.87223199969635], ""type"": ""Point""}";48.87223199969635, 2.3258519997274147
75108_049_02;41 boulevard Malesherbes;FREE MOBILE;2017-12-27;2017-12-27;2023-05-24;;3G/4G;75008;"{""coordinates"": [2.3203239156208784, 48.873731211866065], ""type"": ""Point""}";48.873731211866065, 2.3203239156208784
75109_009_01;43 RUE BLANCHE;FREE MOBILE;2013-12-13;2013-12-13;;;3G/4G/5G;75009;"{""coordinates"": [2.331341999769477, 48.88050300002526], ""type"": ""Point""}";48.88050300002526, 2.331341999769477
75110_004_02;11 RUE DES MESSAGERIES;FREE MOBILE;2013-01-04;2013-11-08;;;3G/4G/5G;75010;"{""coordinates"": [2.34983250060462, 48.876254999790326], ""type"": ""Point""}";48.876254999790326, 2.34983250060462
75110_048_01;251 rue du Faubourg Saint-Martin;FREE MOBILE;2019-06-10;2019-06-12;2022-08-16;;3G/4G/5G;75010;"{""coordinates"": [2.3672429993139112, 48.88297800038418], ""type"": ""Point""}";48.88297800038418, 2.3672429993139112
75111_065_03;150, avenue Parmentier 75011 Paris;FREE MOBILE;2020-04-02;2020-04-02;;;3G/4G;75011;"{""coordinates"": [2.3712884997172146, 48.86990999995806], ""type"": ""Point""}";48.86990999995806, 2.3712884997172146
75111_082_02;34 RUE SEDAINE;FREE MOBILE;2022-10-20;2022-10-17;2022-12-01;;3G/4G/5G;75011;"{""coordinates"": [2.3740289997398385, 48.85661699974225], ""type"": ""Point""}";48.85661699974225, 2.3740289997398385
75111_067_01;9, rue Emilio Castelar 75012 Paris;FREE MOBILE;2020-04-24;2020-04-24;;;3G/4G;75012;"{""coordinates"": [2.3762654995483965, 48.84908400008911], ""type"": ""Point""}";48.84908400008911, 2.3762654995483965
75113_039_01;39 BOULEVARD DE PORT ROYAL;FREE MOBILE;2016-06-24;2016-06-22;2023-05-19;;3G/4G;75013;"{""coordinates"": [2.3453595090391146, 48.837570531001624], ""type"": ""Point""}";48.837570531001624, 2.3453595090391146
75113_026_01;106_108 BOULEVARD KELLERMAN;FREE MOBILE;2014-10-27;2014-10-27;2023-04-26;;3G/4G;75013;"{""coordinates"": [2.3448793045020637, 48.8196353545974], ""type"": ""Point""}";48.8196353545974, 2.3448793045020637
75114_030_05;18 BOULEVARD SAINT JACQUES;FREE MOBILE;2017-11-07;2017-11-07;2022-05-31;;3G/4G/5G;75014;"{""coordinates"": [2.33971747519584, 48.83256965136801], ""type"": ""Point""}";48.83256965136801, 2.33971747519584
75116_032_03;57 RUE D AUTEUIL;FREE MOBILE;2014-12-02;2014-12-02;;;3G/4G/5G;75016;"{""coordinates"": [2.263136740774211, 48.847877274018735], ""type"": ""Point""}";48.847877274018735, 2.263136740774211
75117_001_01;8 RUE EPINETTES;FREE MOBILE;2012-06-25;2013-11-20;;;3G/4G/5G;75017;"{""coordinates"": [2.3219921150323852, 48.89435466910789], ""type"": ""Point""}";48.89435466910789, 2.3219921150323852
75117_027_01;165 RUE DE ROME;FREE MOBILE;2013-03-06;2013-10-02;;;3G/4G;75017;"{""coordinates"": [2.314422000364561, 48.887109000035444], ""type"": ""Point""}";48.887109000035444, 2.314422000364561
75117_091_01;53-55 Rue Legendre;FREE MOBILE;2023-12-13;2023-12-13;;;3G/4G/5G;75017;"{""coordinates"": [2.3165908675765996, 48.88547479236092], ""type"": ""Point""}";48.88547479236092, 2.3165908675765996
75118_033_06;121, rue de Caulaincourt;FREE MOBILE;2017-10-02;2017-10-02;2022-02-24;;3G/4G;75018;"{""coordinates"": [2.3416469998702327, 48.88984500024397], ""type"": ""Point""}";48.88984500024397, 2.3416469998702327
75118_019_05;51 RUE LETORT;FREE MOBILE;2014-05-12;2014-06-19;;;3G/4G;75018;"{""coordinates"": [2.3436360002405228, 48.89657699976127], ""type"": ""Point""}";48.89657699976127, 2.3436360002405228
75119_023_02;8 RUE PREAULT;FREE MOBILE;2014-09-17;2014-09-17;2022-08-05;;3G/4G;75019;"{""coordinates"": [2.38270500029244, 48.87751500038637], ""type"": ""Point""}";48.87751500038637, 2.38270500029244
75119_024_01;25 BIS RUE DE ROMAINVILLE;FREE MOBILE;2015-03-31;2015-03-31;;;3G/4G;75019;"{""coordinates"": [2.400088500667383, 48.877469999855926], ""type"": ""Point""}";48.877469999855926, 2.400088500667383
75120_024_01;337, RUE DES PYRENEES;FREE MOBILE;2016-09-27;2016-09-27;;;3G/4G;75020;"{""coordinates"": [2.392537500400369, 48.87131399967853], ""type"": ""Point""}";48.87131399967853, 2.392537500400369
